annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_jokerplus;devise;
2017138;SAMEDI  ;18/11/2017;18/01/2018;13;9;17;37;48;1;9-13-17-37-48+1;0;7000000;1;100000;47;1000;666;500;2406;50;30639;20;33230;10;412413;5;410657;2,2;10;20000;N 2430 0388,D 4232 2112,S 2627 9429,C 0024 1691,J 0878 5757,D 6255 5473,M 4224 1067,F 4198 1421,H 6064 7110,D 0631 3421;0 192 428;eur;
2017137;MERCREDI;15/11/2017;15/01/2018;12;10;16;35;14;6;10-12-14-16-35+6;0;6000000;1;100000;55;1000;564;500;2167;50;20613;20;30688;10;292196;5;359979;2,2;10;20000;V 7207 1861,O 6113 3928,I 7680 6058,O 2787 3538,U 0105 8428,Q 5610 5794,N 7272 0890,T 9348 1407,D 8435 7281,S 3430 6879;4 375 374;eur;
2017136;LUNDI   ;13/11/2017;13/01/2018;30;29;24;3;43;5;3-24-29-30-43+5;0;5000000;2;100000;30;1000;229;500;1692;50;12534;20;25394;10;192764;5;351005;2,2;10;20000;L 1996 3064,D 2000 9038,U 4107 9520,F 5484 2648,K 0821 6657,K 7500 9071,E 7081 2623,A 7777 3846,K 5786 1554,Q 7845 4795;0 948 775;eur;
2017135;SAMEDI  ;11/11/2017;11/01/2018;40;47;48;1;36;3;1-36-40-47-48+3;0;4000000;1;100000;27;1000;266;500;1598;50;14764;20;27262;10;246185;5;529871;2,2;10;20000;N 3693 9598,R 7477 3930,B 9553 2000,D 4023 8971,Q 5502 1412,B 6019 7475,D 2382 3692,L 6006 6782,G 1119 6962,A 4193 6032;9 247 894;eur;
2017134;MERCREDI;08/11/2017;08/01/2018;37;41;13;26;2;5;2-13-26-37-41+5;0;3000000;1;100000;55;1000;381;500;2039;50;16115;20;30920;10;239538;5;435231;2,2;10;20000;R 5838 3316,V 5110 9179,S 0001 3108,G 2318 1211,T 8545 7281,B 5869 1200,P 2927 7925,L 6876 3360,E 1858 7615,T 7879 4256;4 516 554;eur;
2017133;LUNDI   ;06/11/2017;06/01/2018;30;45;49;27;48;1;27-30-45-48-49+1;0;2000000;2;100000;23;1000;253;500;912;50;11203;20;14409;10;171382;5;218529;2,2;10;20000;B 6149 9386,J 3514 1733,P 4084 2690,V 9147 1947,J 9896 1356,Q 6155 0667,Q 3576 9653,F 5525 6916,C 1994 9926,C 0830 9182;1 149 884;eur;
2017132;SAMEDI  ;04/11/2017;04/01/2018;23;7;38;35;6;7;6-7-23-35-38+7;1;2000000;0;100000;57;1000;393;500;3511;50;20497;20;57792;10;320600;5;775420;2,2;10;20000;G 2697 4558,K 7247 8829,U 7601 7244,S 1257 9812,M 6977 6753,O 5542 0144,K 7584 8129,Q 9651 1698,O 1099 8121,D 9024 2278;3 141 767;eur;
2017131;MERCREDI;01/11/2017;01/01/2018;18;8;26;9;32;1;8-9-18-26-32+1;1;3000000;1;100000;38;1000;371;500;1484;50;18005;20;20508;10;252070;5;252808;2,2;10;20000;O 3562 0824,N 3205 0694,Q 7548 9029,K 3018 3877,I 4052 2163,M 2267 5924,F 9899 9664,T 4611 9577,M 8079 8700,O 8811 2830;3 193 695;eur;
2017130;LUNDI   ;30/10/2017;30/12/2017;32;42;12;44;34;5;12-32-34-42-44+5;0;2000000;4;100000;46;1000;308;500;1374;50;11393;20;20204;10;157438;5;337550;2,2;10;20000;Q 5868 1745,T 1135 2597,L 3975 7672,M 3830 7529,C 4988 3040,N 9127 8682,E 7267 8923,H 8601 3726,T 6057 8444,J 4566 5174;7 713 978;eur;
2017129;SAMEDI  ;28/10/2017;28/12/2017;22;12;47;5;29;8;5-12-22-29-47+8;1;5000000;5;100000;123;1000;861;500;3804;50;33268;20;45732;10;411396;5;516855;2,2;10;20000;I 5642 2826,L 0595 2410,B 7353 2285,E 9789 7281,G 9183 4912,U 7684 0357,N 2276 5961,H 5120 2741,T 0584 7543,S 5575 7555;9 928 508;eur;
2017128;MERCREDI;25/10/2017;25/12/2017;9;3;19;41;43;8;3-9-19-41-43+8;0;4000000;5;100000;41;1000;409;500;1826;50;18665;20;26899;10;268010;5;358746;2,2;10;20000;P 9090 4328,K 5867 9342,U 5095 8636,C 1075 7612,H 9895 9234,V 9096 7743,M 6954 5189,L 8429 9283,M 9556 9661,V 1525 5391;6 993 949;eur;
2017127;LUNDI   ;23/10/2017;23/12/2017;12;21;47;44;25;3;12-21-25-44-47+3;0;3000000;3;100000;34;1000;283;500;1570;50;13530;20;22462;10;192896;5;293879;2,2;10;20000;Q 7436 0270,F 1311 2640,O 8015 8966,E 5161 8157,R 6588 5147,I 5295 8731,D 0397 7662,J 8002 9279,V 9109 6332,T 8525 5314;6 450 229;eur;
2017126;SAMEDI  ;21/10/2017;21/12/2017;2;42;6;20;21;8;2-6-20-21-42+8;0;2000000;3;100000;73;1000;575;500;2801;50;26511;20;40414;10;369817;5;521397;2,2;10;20000;O 4977 9138,K 4072 5130,Q 2037 9675,K 4225 9459,K 4417 1507,O 3050 1028,G 0762 2460,O 1332 2970,I 1645 0410,F 3074 6088;1 642 467;eur;
2017125;MERCREDI;18/10/2017;18/12/2017;5;13;25;12;24;7;5-12-13-24-25+7;1;3000000;4;100000;168;1000;814;500;5897;50;29117;20;65277;10;333740;5;573486;2,2;10;20000;I 9809 1137,S 8761 6844,K 1692 4312,B 5387 3962,J 0875 2999,K 3208 3351,E 7635 7965,J 8875 7257,F 1070 4826,Q 0856 7986;2 125 370;eur;
2017124;LUNDI   ;16/10/2017;16/12/2017;39;48;30;5;32;8;5-30-32-39-48+8;0;2000000;2;100000;31;1000;200;500;1297;50;9803;20;19900;10;159173;5;310317;2,2;10;20000;D 7955 8639,E 8981 3703,G 3555 4569,C 7743 8694,Q 8381 2120,V 3884 9368,C 9307 3705,P 8826 0603,E 5904 9630,H 1601 5741;1 245 698;eur;
2017123;SAMEDI  ;14/10/2017;14/12/2017;18;20;38;43;47;3;18-20-38-43-47+3;1;14000000;3;100000;50;1000;423;500;2450;50;20172;20;37807;10;324325;5;619580;2,2;10;20000;M 5961 4698,L 9021 9180,B 8384 7802,L 5819 1142,A 9160 3029,O 6672 9935,D 2604 2833,E 5554 6425,N 5312 0731,S 4473 7643;0 505 863;eur;
2017122;MERCREDI;11/10/2017;11/12/2017;44;48;6;29;15;4;6-15-29-44-48+4;2;1500000;2;100000;31;1000;308;500;1560;50;14620;20;24617;10;223682;5;353995;2,2;10;20000;P 5476 7482,I 1150 0122,M 3436 9248,B 2964 5995,H 3114 3719,D 1038 7027,U 1556 5831,N 5972 0080,I 4149 2082,B 2771 1072;1 577 684;eur;
2017121;LUNDI   ;09/10/2017;09/12/2017;47;30;6;15;3;9;3-6-15-30-47+9;0;2000000;0;100000;37;1000;309;500;1541;50;14545;20;21114;10;197384;5;270114;2,2;10;20000;S 9447 0434,J 8147 1180,J 2217 6856,F 7911 8866,P 3416 3613,V 9061 8248,Q 0716 1408,V 9058 9323,P 3890 2786,P 0509 1673;4 232 417;eur;
